PARENT_PARK,NAME,TOTAL_AREA,YEAR,water_usage_summer,water_usage_autumn,water_usage_winter,water_usage_spring,water_usage_year,RF_summer,RF_autumn,RF_winter,RF_spring,RF_year,ET_summer,ET_autumn,ET_winter,ET_spring,ET_year
69714,BALWYN PARK,15611,2013,248,526,468,190,1432,131.9000025,115.3999977,248.4999962,214.4000015,710.1999979,478.9000026,238.9999994,122.1999997,295.2,1135.300002
70928,HEATHERDALE RESERVE,15835,2013,0,0,0,0,0,155.1000032,134.7000008,286.9000015,245,821.7000055,469.8000005,234.1000003,118.6000001,284.2,1106.700001
70523,ELGAR PARK,43431,2013,4194,2420,546,3735,10895,131.9000025,115.3999977,248.4999962,214.4000015,710.1999979,478.9000026,238.9999994,122.1999997,295.2,1135.300002
70920,HAYES PARK,13494,2013,11,16,68,181,276,116.3000038,121.7999992,233.9000053,189.5999985,661.6000068,481.7000003,244.8999999,126.6999997,303.8999999,1157.2
629920,DIAMOND CREEK RESERVE,18330,2013,0,0,0,0,0,145.1088158,107.3020294,206.1979698,191.6212007,650.2300157,480.6485666,237.2736883,118.4254721,289.7967805,1126.144508
70836,GREENWOOD PARK,6853,2013,184,168,187,70,609,173,111.4000015,279.0000038,242.8000031,806.2000084,471.7999992,229.6000005,113.8000001,280.3,1095.5
72529,SYCAMORE RESERVE,19900,2013,0,0,0,0,0,136.1000016,119.1999989,235.3999977,206.0000038,696.700002,480.5000011,237.2000007,115.9999999,290.7,1124.400002
70833,GREENVALE RESERVE,68393,2013,2539,1203,379,300,4421,106.9000044,98.79999924,203.2000046,173.9000015,582.8000097,476.2000017,241.9000001,119.9999995,292.9000009,1131.000002
70871,HALLAM RESERVE,10106,2013,1132,872,83,2744,4831,110.8000031,116.0000019,223.7000046,186.5,637.0000096,479.7000001,242.0999995,122.0999992,297.7999992,1141.699998
70841,GRIFF HUNT RESERVE,17723,2013,0,0,0,0,0,152.1999984,108.5000019,244.4000015,227.7000046,732.8000064,477.9000016,232.4000008,115.5000001,281.7000012,1107.500004
982742,WILSON RESERVE,8032,2013,0,0,0,0,0,154.4999986,121.1000004,195.4999962,204.0999985,675.1999937,480.4000021,235.6000003,114.9999996,283.2999994,1114.300001
1009841,IVANHOE PARK,19979,2013,1988,1616,609,5753,9966,123.8000045,115.2999973,233.2999992,199.4000053,671.8000063,482.9000001,241.7000012,124.3999998,300.8999998,1149.900001
77953,PA1/26-38 SIXTH AVENUE BURWOOD 3125,17217,2013,119,155,93,57,424,143.1000032,117.6000004,251.6000023,227.5000076,739.8000135,473.8000027,238.6999995,122.6999998,294.1999991,1129.400001
71110,JUBILEE PARK,39708,2013,8111,2945,493,511,12060,172.2931225,116.7157333,280.7813361,242.9696536,812.7598455,471.460697,230.5048057,114.7896312,280.9220542,1097.677188
1246399,CANTERBURY GARDENS RESERVE,5765,2013,153,295,306,426,1180,172.2999983,158.5000038,286.1000023,269.6000061,886.5000105,463.3999974,227.0000015,111.8000003,274.799998,1076.999997
70410,DORSET RECREATION RESERVE,45308,2013,0,0,0,0,0,137.6000009,123.9000015,288.5999947,256.6999969,806.799994,472.2999997,230.1000008,114.4000003,279.1000013,1095.900002
648092,CHANDLER RECREATION RESERVE,11931,2013,0,0,3,1,4,145.5156268,202.1168763,395.8144902,384.8529076,1128.299901,446.0573895,215.9281245,101.5224984,259.8236441,1023.331657
70045,CAPITAL RESERVE,14845,2013,975,805,93,263,2136,155.1000032,134.7000008,286.9000015,245,821.7000055,469.8000005,234.1000003,118.6000001,284.2,1106.700001
71449,MAYER PARK,15070,2013,0,0,0,0,0,116.3000038,121.7999992,233.9000053,189.5999985,661.6000068,481.7000003,244.8999999,126.6999997,303.8999999,1157.2
70781,GORDON BARNARD RESERVE,34642,2013,0,0,0,0,0,131.9000025,115.3999977,248.4999962,214.4000015,710.1999979,478.9000026,238.9999994,122.1999997,295.2,1135.300002
72277,SEABROOK RESERVE,17964,2013,0,0,0,0,0,110.8000031,116.0000019,223.7000046,186.5,637.0000096,479.7000001,242.0999995,122.0999992,297.7999992,1141.699998
76270,ELTHAM LOWER PARK,26074,2013,0,0,0,0,0,117.1999998,110.0999985,241.1000023,193.1999969,661.5999975,482.4000024,239.1999988,121.1999997,292.1999999,1135.000001
998791,LALOR RECREATION RESERVE,17659,2013,252,230,251,733,1466,120.6000023,123.8000031,240.3999939,197.0999947,681.899994,479.599999,238.5000007,116.9999999,293.5999999,1128.7
70406,DONVALE RESERVE,40046,2013,71,145,195,224,635,149.0105229,119.195648,271.7969454,229.7181865,769.7213028,473.7624011,233.7122714,117.2038308,285.3953894,1110.073893
70977,HISLOP RESERVE,36460,2013,0,0,0,0,0,131.9000025,115.3999977,248.4999962,214.4000015,710.1999979,478.9000026,238.9999994,122.1999997,295.2,1135.300002
71618,MORRIS RESERVE,11261,2013,0,3,10,2,15,109,115,217.7000008,185.2000008,626.9000016,482.2000008,247.1000012,128.6999998,304.3999996,1162.400001
1016168,COLUMBIA PARK RESERVE,13660,2013,9,9,10,10,38,165.6999984,153.5999985,280.5,279.7999954,879.5999923,467.0000014,234.8999997,119.8999998,286.9,1108.700001
70739,GLADSTONE PARK RESERVE,12145,2013,27,29,46,124,226,105.8000007,106.3000011,200.8999977,182.7000008,595.7000003,480.6000017,243.0000004,122.3999991,298.5000002,1144.500001
72294,SEVILLE RECREATION RESERVE,26337,2013,0,0,0,0,0,146.8000016,166.4999981,309.6000061,324.8000031,947.7000089,461.2999996,219.6000011,103.9999993,266.9000008,1051.800001
69559,ALISTAIR KNOX PARK,8026,2013,0,0,0,0,0,142.2999978,105.3000011,208.1999969,186.8999977,642.6999935,482.8000002,238.2,119.7999998,291.4999997,1132.3
72571,TEMPLESTOWE RESERVE,29504,2013,0,0,0,0,0,117.1999998,110.0999985,241.1000023,193.1999969,661.5999975,482.4000024,239.1999988,121.1999997,292.1999999,1135.000001
1243301,LIPSCOMBE PARK,12551,2013,12,26,16,23,77,173,111.4000015,279.0000038,242.8000031,806.2000084,471.7999992,229.6000005,113.8000001,280.3,1095.5
69592,ANDERSON PARK,12240,2013,1154,683,290,761,2888,137,116,242.4000015,209.4000015,704.800003,476.9000027,243.9000004,127.2999995,303.4999998,1151.600002
71232,KOONUNG RESERVE,16467,2013,36,38,41,39,154,131.9000025,115.3999977,248.4999962,214.4000015,710.1999979,478.9000026,238.9999994,122.1999997,295.2,1135.300002
71541,MILLGROVE RECREATION RESERVE,10160,2013,24,12,11,9,56,214.4000015,220.7999992,471,407.5000153,1313.700016,450.0999994,216.5999996,98,255.9000005,1020.6
